"NOC","Year","Season","Medal","Count"
"URS",1956,"Summer","Gold",68
"JPN",1956,"Summer","Gold",4
"SUI",1956,"Summer","Gold",0
"GDR",1956,"Summer","Gold",0
"SWE",1956,"Summer","Gold",14
"GBR",1956,"Summer","Gold",8
"ROU",1956,"Summer","Gold",6
"GER",1956,"Summer","Gold",9
"POL",1956,"Summer","Gold",1
"TCH",1956,"Summer","Gold",1
"FRG",1956,"Summer","Gold",0
"KOR",1956,"Summer","Gold",0
"CHN",1956,"Summer","Gold",0
"DEN",1960,"Summer","Gold",2
"FIN",1960,"Summer","Gold",1
"NOR",1960,"Summer","Gold",2
"NED",1960,"Summer","Gold",0
"FRA",1960,"Summer","Gold",0
"ITA",1960,"Summer","Gold",36
"ESP",1960,"Summer","Gold",0
"RUS",1960,"Summer","Gold",0
"USA",1960,"Summer","Gold",81
"HUN",1960,"Summer","Gold",13
"AUS",1960,"Summer","Gold",11
"CAN",1960,"Summer","Gold",0
"URS",1960,"Summer","Gold",61
"JPN",1960,"Summer","Gold",9
"SUI",1960,"Summer","Gold",0
"GDR",1960,"Summer","Gold",0
"SWE",1960,"Summer","Gold",2
"GBR",1960,"Summer","Gold",2
"ROU",1960,"Summer","Gold",3
"GER",1960,"Summer","Gold",34
"POL",1960,"Summer","Gold",4
"TCH",1960,"Summer","Gold",4
"FRG",1960,"Summer","Gold",0
"KOR",1960,"Summer","Gold",0
"CHN",1960,"Summer","Gold",0
"DEN",1964,"Summer","Gold",7
"FIN",1964,"Summer","Gold",3
"NOR",1964,"Summer","Gold",0
"NED",1964,"Summer","Gold",5
"FRA",1964,"Summer","Gold",1
"ITA",1964,"Summer","Gold",14
"ESP",1964,"Summer","Gold",0
"RUS",1964,"Summer","Gold",0
"USA",1964,"Summer","Gold",95
"HUN",1964,"Summer","Gold",42
"AUS",1964,"Summer","Gold",8
"CAN",1964,"Summer","Gold",2
"URS",1964,"Summer","Gold",60
"JPN",1964,"Summer","Gold",32
"SUI",1964,"Summer","Gold",1
"GDR",1964,"Summer","Gold",0
"SWE",1964,"Summer","Gold",3
"GBR",1964,"Summer","Gold",4
"ROU",1964,"Summer","Gold",2
"GER",1964,"Summer","Gold",22
"POL",1964,"Summer","Gold",10
"TCH",1964,"Summer","Gold",5
"FRG",1964,"Summer","Gold",0
"KOR",1964,"Summer","Gold",0
"CHN",1964,"Summer","Gold",0
"DEN",1968,"Summer","Gold",5
"FIN",1968,"Summer","Gold",1
"NOR",1968,"Summer","Gold",4
"NED",1968,"Summer","Gold",6
"FRA",1968,"Summer","Gold",12
"ITA",1968,"Summer","Gold",5
"ESP",1968,"Summer","Gold",0
"RUS",1968,"Summer","Gold",0
"USA",1968,"Summer","Gold",99
"HUN",1968,"Summer","Gold",32
"AUS",1968,"Summer","Gold",5
"CAN",1968,"Summer","Gold",3
"URS",1968,"Summer","Gold",65
"JPN",1968,"Summer","Gold",16
"SUI",1968,"Summer","Gold",0
"GDR",1968,"Summer","Gold",13
"SWE",1968,"Summer","Gold",4
"GBR",1968,"Summer","Gold",9
"ROU",1968,"Summer","Gold",5
"GER",1968,"Summer","Gold",0
"POL",1968,"Summer","Gold",5
"TCH",1968,"Summer","Gold",7
"FRG",1968,"Summer","Gold",17
"KOR",1968,"Summer","Gold",0
"CHN",1968,"Summer","Gold",0
"DEN",1972,"Summer","Gold",1
"FIN",1972,"Summer","Gold",3
"NOR",1972,"Summer","Gold",2
"NED",1972,"Summer","Gold",3
"FRA",1972,"Summer","Gold",2
